idar,idref,notebio,idau,prenom,autreprenom,nomfamille,nom_full,idu_nb
1116402ar,au1,"Karie Jo Peralta, Ph.D. (corresponding author), is an associate professor of sociology in the Department of Sociology and Anthropology at the University of Toledo in Toledo, Ohio. She earned her Ph.D. in Sociology at the University of Miami in Coral Gables, Florida. Her research interests are in community-based methods, sociology of education, nonprofit organizations, and Dominican Studies. Email: karie.peralta@utoledo.edu",au1,Karie Jo,,Peralta,Karie Jo Peralta,1116402ar.au1.Karie Jo Peralta.1
1116402ar,au2,"Sloan Eberly Mann is the Chief Education Officer at Imagination Station, a science center located in downtown Toledo, Ohio. She earned her M.A. in Anthropology at the University of North Carolina, Chapel Hill. Her professional interests include advancing the making and tinkering pedagogy and promoting access to high quality STEM education in the Northwest Ohio region.",au2,Sloan Eberly,,Mann,Sloan Eberly Mann,1116402ar.au2.Sloan Eberly Mann.1
1116401ar,au1,"Sylvie Roy (auteur correspondant) est professeure au Werklund School of Education, à l’Université de Calgary. Elle enseigne en formation des maîtres pour préparer de futurs enseignants de français. C’est en majorité en immersion française qu’elle a mené ses recherches ethnographiques et sociolinguistiques pour mieux comprendre les idéologies relatives au français en Alberta. Messagerie électronique: syroy@ucalgary.ca",au1,Sylvie,,Roy,Sylvie Roy,1116401ar.au1.Sylvie Roy.1
1116401ar,au2,"Fanny Macé est professeure adjointe en didactique et évaluation du français langue seconde au Département d’Études françaises de l’Université Concordia (Montréal). Elle poursuit ses recherches en linguistique appliquée et sociolinguistique critique en Alberta et au Québec, notamment les problématiques relatives à la construction identitaire des enseignants et des apprenants plurilingues.",au2,Fanny,,Macé,Fanny Macé,1116401ar.au2.Fanny Macé.1
1116398ar,au1,"Lucy Delgado (corresponding author) is a Two-Spirit Métis scholar, educator, and community organizer. She is an Assistant Professor in the Faculty of Education at the University of Manitoba, with a research and teaching focus on Métis youth identity, Indigenous education, queer theory, hip-hop pedagogies, and youth cultures.",au1,Lucy,,Delgado,Lucy Delgado,1116398ar.au1.Lucy Delgado.1
1116398ar,au2,"Laura Forsythe is a Métis scholar at the University of Winnipeg in the Faculty of Education. Forsythe’s research focus is Métis-specific contributions to the academy, inclusion efforts, and educational sovereignty. Forsythe’s contributions include five edited collections, the editor of two Indigenous journals, and numerous peer-reviewed publications.",au2,Laura,,Forsythe,Laura Forsythe,1116398ar.au2.Laura Forsythe.1
1116399ar,au1,"Amanda Froehlich Chow (corresponding author) is the co-founder of the Nature’s Way-Our Way resources and a proud mom of four children, bringing lived experience as a parent of early years children. She brings strength in community-based participatory research and Indigenous research methodologies, child health and rural and remote health research. Email: a.fc@usask.ca",au1,Amanda,,Froehlich Chow,Amanda Froehlich Chow,1116399ar.au1.Amanda Froehlich Chow.1
1116399ar,au2,"Elder Kathy Wahpepah is a member of Winnebago (HoChunk) Tribe of Nebraska, Kickapoo Tribe of Oklahoma and Carry-The-Kettle Nakoda Nation (Cegakin). She is a Knowledge Holder and principal applicant, who has been the lead Elder and cultural liaison guiding the foundational groundwork informing the proposed project.",au2,Kathy,,Wahpepah,Kathy Wahpepah,1116399ar.au2.Kathy Wahpepah.1
1116399ar,au3,"M. Louise Humbert is a Professor in the College of Kinesiology at the University of Saskatchewan, and a co-founder of the Nature’s Way-Our Way resources. Dr. Humbert leads the Saskatchewan Physical Literacy team (SPLIT). Her research focuses on community-based strategies to develop physical literacy among children and youth.",au3,M. Louise,,Humbert,M. Louise Humbert,1116399ar.au3.M. Louise Humbert.1
1116399ar,au4,"Natalie Houser is an assistant Professor in the College of Kinesiology at the University of Saskatchewan. Her current research is focused on physical literacy enriched pedagogy and creating physical literacy enriched movement opportunities for children of all ages and abilities in different contexts, including supporting those with neurodiviersity.",au4,Natalie,,Houser,Natalie Houser,1116399ar.au4.Natalie Houser.1
